ID;STATION CODE;LOCATIONS;STATE;Temp;TempW;DO;DOW;Conductivity;ConductivityW;NI;NIW;WQI;WQI clf
1570;1400;MANDOVI AT NEGHBOURHOOD OF PANAJI. GOA;GOA;29;0.69;6.4;0.57;44000;0.67;0.1;0.000828043;99.92420377;0
1571;1543;RIVER KALNA AT CHANDELNAN PERNEM. GOA;GOA;27;0.58;7.2;0.64;70;0.001;0.1;0.000828043;88.24050812;0
1572;1544;RIVER VALVANT AT SANKLI NAN BICHOLIM. GOA;GOA;28;0.64;7.2;0.64;60;0.001;0.1;0.000828043;180.7242281;0
1576;1548;RIVER ASSONORA AT ASSONORA. GOA;GOA;28;0.64;6.3;0.56;66;0.001;0.1;0.000828043;79.43603072;0
1577;1093;ULHAS AT U/S OF NRC BUND AT MOHANE. MAHARASHTRA;MAHARASHTRA;26;0.53;6.4;0.57;103;0.001;0.24;0.00211611;83.06429043;0
1578;1094;ULHAS AT U/S OF BADLAPUR. MAHARASHTRA;MAHARASHTRA;27;0.58;6.7;0.6;103;0.001;0.22;0.0019321;81.0754629;0
1579;1461;BHATSA AT D/S OF PISE DAM NEAR PISE VILLAGE (ULHAS). MAHARASHTRA;MAHARASHTRA;28;0.64;6.6;0.59;97;0.001;0.25;0.002208115;80.35880986;0
1580;1092;KALU AT ATALE VILLAGE. MAHARASHTRA;MAHARASHTRA;28;0.64;5.7;0.5;531;0.008;0.75;0.006808354;96.06707913;0
1581;1462;PATALGANGA NEAR INTAKE OF MIDC W/W. MAHARASHTRA;MAHARASHTRA;25;0.47;6.4;0.57;113;0.002;0.47;0.00423222;77.1981771;0
1582;1151;PATALGANGA AT SHILPHATA. MAHARASHTRA;MAHARASHTRA;25;0.47;6.6;0.59;88;0.001;0.45;0.004048211;81.84123652;0
1583;1152;KUNDALIKA AT ROHA CITY. MAHARASHTRA;MAHARASHTRA;22;0.31;6.2;0.55;117;0.002;0.5;0.004508234;84.98297101;0
1588;21;CHALIYAR AT CHUNGAPALLY. KERALA;KERALA;28;0.64;6.8;0.61;7920;0.12;0.2;0.001748091;50.79900928;0
1592;1155;KARAMANA AT MOONNATTUMUKKU. KERALA;KERALA;28;0.64;0.8;0.06;2156;0.033;1;0.009108474;461.2002133;0
1601;1442;VAMANAPURAM. KERALA;KERALA;28;0.64;6.7;0.6;80;0.001;0.5;0.004508234;81.62423623;0
1602;1563;AMARAVILA. KERALA;KERALA;27;0.58;6.4;0.57;112;0.002;0.7;0.00634833;138.2876038;0
1611;1573;IRUMPANAM. KERALA;KERALA;29;0.69;2.8;0.24;1239;0.019;0.6;0.005428282;76.47624087;0
1612;1448;NAGAVALLI AT THOTAPALLI REGULATOR. A.P.;ANDHRA PRADESH;28;0.64;6.2;0.55;380;0.006;0.5;0.004508234;89.92763101;0
1613;1455;RUSHIKULYA AT GANJAM U/S. ORISSA;ODISHA;30;0.75;7.9;0.71;382;0.006;0.21;0.001840096;89.09232609;0
1615;1642;NAGAVALLI AT JAYKAYPUR D/S. ORISSA;ODISHA;30;0.75;7.2;0.64;244;0.004;0.51;0.004600239;80.53673478;0
